,tweets,time,likes,no:rt
36,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:49:43,0,822
37,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:49:34,0,822
38,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:49:25,0,315
39,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:48:10,0,822
40,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 08:45:51,0,624
41,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:45:28,0,822
42,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:45:17,0,822
43,"The $BTC price is at $57020.00 right now.
🟢 Compared to the last tweet, the price has increased by $143.18 (0.25%).… https://t.co/BNwcEv7570",2021-04-19 08:45:09,1,0
44,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:43:45,0,315
45,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:43:41,0,822
46,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:41:41,0,822
47,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:39:07,0,822
48,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:38:40,0,822
49,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:34:46,0,822
50,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:33:39,0,822
51,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:31:26,0,822
52,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:31:24,0,822
53,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:30:15,0,822
54,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:29:58,0,315
55,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 08:29:42,0,624
56,"RT @AtomicWallet: 🔥 Guess the #Bitcoin price by Jan 1, 00:00 UTC, and win $1000 $BTC! 3 closest bets will share the prize 🎁

⚡️Comment your…",2021-04-19 08:29:01,0,2145
57,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:28:24,0,822
58,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:27:51,0,822
59,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:23:33,0,822
60,"https://t.co/eIrBZRUDqQ
Tell me about it! I must have lost at least £6.00 over the course of the weekend.
Spare som… https://t.co/4f3njcxKBc",2021-04-19 08:23:09,1,0
61,"Hourly Price Alert: BTC rose by 2.00% to $57,131.00. LTC rose by 3.10% to $272.72. ETH rose by 2.81% to $2,262.85.… https://t.co/Y1i8csVYx3",2021-04-19 08:23:03,0,0
62,BTC $57475.00 Up +$635.00 +1.10% in the last hour #bitcoin #bitsmart,2021-04-19 08:22:10,0,0
63,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:21:45,0,315
64,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:20:51,0,822
65,"RT @GregSchoen: I wish I had kept my 1,700 BTC @ $0.06 instead of selling them at $0.30, now that they're $8.00! #bitcoin",2021-04-19 08:18:35,0,7116
66,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:18:34,0,822
67,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:17:29,0,822
68,"RT @IGSquawk: Crypto update:
#Bitcoin 56848.00 +1.07%
#Ether 2247.91 +0.9%
#BitcoinCash 997.34 +6.46%
#EOS 7.2592 +4.07%
#Stellar 0.5590 +1…",2021-04-19 08:17:12,0,4
69,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/zWmXJAgNq6

1️⃣Punjab Kings - 1.9
🏆WINNER…",2021-04-19 08:16:38,0,33
70,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/iCLuMKLn4Q

1️⃣Delhi Capitals - 1.67
🏆WINN…",2021-04-19 08:15:20,0,32
71,"The current price of Bitcoin is $57324.00.
The current price of BCash is $993.31, or 0.01732800 BTC.
The current pr… https://t.co/j61K6mTgOS",2021-04-19 08:15:02,0,0
72,"Live info #FOREX #Bitcoin #BTC
USD/JPY looks towards 108.00 as sellers look to forge the next leg lower
https://t.co/LlNZjG2jTj",2021-04-19 08:14:18,0,0
73,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:14:07,0,822
74,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:13:36,0,822
75,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:13:14,0,822
76,"RT @BitSler: 👩‍🎤Sat 17 Apr 13:00 GMT #LOL 🧚‍♀️

Time to make your prediction 🤑
https://t.co/MuPjMQa8vO

1️⃣Crowcrowd - 2.96
🏆WINNER
2️⃣Unic…",2021-04-19 08:12:50,0,4
77,"RT @BitSler: Are gonna watch #Cricket 🏏this weekend?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/OA0Gci6kMB

1️⃣Mumbai Indians - 1.…",2021-04-19 08:12:49,0,31
78,"RT @bricks_estate: #BricksestateAMAseries🎉🎉

We are pleased to have an #AMA with @Bafifinancee 🥰

⏰Time: 12:00pm April 19th UTC 

📍https://…",2021-04-19 08:12:29,0,14
79,"RT @BitSler: 💰End the Weekend Rich!

🥊BET ON #BOXING - Sat 17 Apr 22:00 GMT
Place your bet here ➡️https://t.co/NRgvGoF0bo

1️⃣Andrade, Deme…",2021-04-19 08:12:02,0,30
80,"RT @BitSler: The #Cricket is BACK 🏏🏏🏏!

14:00 GMT #IPL 🏆
Place your bets now 👉

1️⃣Royal Challengers Bangalore - 1.8
🏆WINNER
2️⃣Sunrisers H…",2021-04-19 08:11:57,0,35
81,"RT @BitSler: Are you also Fan of #Cricket 🏏?

Sun 18 Apr 10:00 GMT #IPL 🏆
Place your bets now 👉

1️⃣Royal Challengers Bangalore - 1.76
🏆WIN…",2021-04-19 08:11:49,0,5
82,"RT @BitSler: 👩‍🎤Sun 18 Apr 19:00 GMT - #DOTA2 🧚‍♀️

Time to make your prediction 🤑
https://t.co/dfyUitOAWi

1️⃣Evil Geniuses - 1.03
🏆WINNER…",2021-04-19 08:11:39,0,23
83,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:09:49,0,822
84,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:08:01,0,315
85,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:07:01,0,822
86,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:04:47,0,822
87,"The current price of bitcoin is $57,392.00. It has increased by 1.828% in the last 24 hours #bitcoin #btc #cryptocurrency",2021-04-19 08:03:50,1,0
88,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 08:02:52,0,822
89,on the 04/19/2021 at 08:02 1BTC was worth $57456.00 #Bitcoin #Crypto #BotcoinUSD #Bitfinex,2021-04-19 08:02:51,0,0
90,1 BTC Price: Bitstamp 57475.42 USD #BTC #Bitcoin 2021-04-19 04:00 https://t.co/bouRQ2XYTq,2021-04-19 08:00:21,0,0
91,"Top 5 #cryptocurrencies 
 Alert Time: 2021-04-19 11:00:19
#Bitcoin: $57,426.14211
#Ethereum: $2,270.04037… https://t.co/55gKWhzJuR",2021-04-19 08:00:21,0,0
92,"The $BTC price is at $57337.04 right now.
🔴 Compared to the last tweet, the price has dropped by $22.72 (-0.04%).
🟢… https://t.co/3lJCBiAPr3",2021-04-19 08:00:09,1,0
93,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 08:00:08,0,624
94,"The price of
Spaghetti alla Carbonara
is 19,138 Satoshis
or 0.00019138 BTC

1 BTC = 57,425.00 USD
1 USD = 1,741 Sat… https://t.co/5wP8Idzerg",2021-04-19 08:00:02,0,0
95,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:58:21,0,822
96,"RT @MocktailSwap: We are going to make history again..

Are you in?

17:00 UTC Tonight

Stay Tuned!

https://t.co/of4S1sZzZL

#MocktailSwap…",2021-04-19 07:58:00,0,18
97,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:55:05,0,822
98,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:54:57,0,822
99,"RT @BitSler: 💰End the Weekend Rich!

🥊BET ON #BOXING - Sat 17 Apr 22:00 GMT
Place your bet here ➡️https://t.co/NRgvGoF0bo

1️⃣Andrade, Deme…",2021-04-19 07:52:30,0,30
100,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:52:24,0,822
101,"RT @BitSler: Are gonna watch #Cricket 🏏this weekend?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/OA0Gci6kMB

1️⃣Mumbai Indians - 1.…",2021-04-19 07:52:13,0,31
102,"RT @BitKanOfficial: BitKan will list $APN (@apronofficial1) at 15:00 on 21 April 2021, Singapore Time (UTC+08:00). #btc #Bitcoin

Details:…",2021-04-19 07:52:07,0,1
103,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:51:32,0,822
104,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/zWmXJAgNq6

1️⃣Punjab Kings - 1.9
🏆WINNER…",2021-04-19 07:51:11,0,33
105,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:50:07,0,822
106,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:50:05,0,822
107,"RT @BitSler: Are you also Fan of #Cricket 🏏?

14:00 GMT #IPL 🏆
Place your bets now 👉https://t.co/iCLuMKLn4Q

1️⃣Delhi Capitals - 1.67
🏆WINN…",2021-04-19 07:49:50,0,32
108,"BitKan will list $APN (@apronofficial1) at 15:00 on 21 April 2021, Singapore Time (UTC+08:00). #btc #Bitcoin

Detai… https://t.co/zWbLn8EkMd",2021-04-19 07:49:40,5,1
109,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:49:24,0,822
110,"RT @BitSler: The #Cricket is BACK 🏏🏏🏏!

14:00 GMT #IPL 🏆
Place your bets now 👉

1️⃣Royal Challengers Bangalore - 1.8
🏆WINNER
2️⃣Sunrisers H…",2021-04-19 07:47:12,0,35
111,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:46:26,0,822
112,"RT @BitSler: 👩‍🎤Sun 18 Apr 19:00 GMT - #DOTA2 🧚‍♀️

Time to make your prediction 🤑
https://t.co/dfyUitOAWi

1️⃣Evil Geniuses - 1.03
🏆WINNER…",2021-04-19 07:46:06,0,23
113,"RT @bricks_estate: #BricksestateAMAseries🎉🎉

We are pleased to have an #AMA with @Bafifinancee 🥰

⏰Time: 12:00pm April 19th UTC 

📍https://…",2021-04-19 07:45:56,0,14
114,"#Bitcoin Market Alert! 🚨

Order Balance: 48.00% (Buy)

Buy 74.00% | Sell 26.00%
Bid: $57395.718 Ask: $57397.856
Spread: $2.138",2021-04-19 07:44:41,0,0
115,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:41:15,0,822
116,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:41:09,0,315
117,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:40:50,0,822
118,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:40:24,0,822
119,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 07:40:00,0,624
120,"RT @mofifinance: 📣Mofi will now be traded on Hotbit 📣

Hotbit listing announcement: https://t.co/bGwA3jZXcW
Trading function launches at: 2…",2021-04-19 07:38:50,0,270
121,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:36:54,0,822
122,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:36:53,0,822
123,"RT @ComBkex: 🔸 New Listing🔸 

#BKEX will list #SHIB @Shibtoken🚀 🚀 
- Trading pair: SHIB/USDT
- Trading time: 11:00 on Apr 16 (UTC+8)

🔹 🔹 M…",2021-04-19 07:31:30,0,132
124,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:29:18,0,822
125,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:26:30,0,315
126,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:24:23,0,822
127,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:22:54,0,822
128,BTC $56840.00 Up +$21.00 +0.04% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:29,0,0
129,BTC $56819.00 Down -$157.00 -0.28% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:27,0,0
130,BTC $56976.00 Down -$316.00 -0.55% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:26,0,0
131,BTC $57292.00 Up +$285.00 +0.50% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:25,0,0
132,"RT @sexualcrypto: #bitcoin  #cryptocurrency #crypto
1 $BTC $57.326,82🟢0.84%
2 $ETH $2.264,70🟢1.67%
3 $BNB $536,58🟢12.07%
4 $XRP $1,5021🟢10.…",2021-04-19 07:22:25,0,1
133,BTC $57007.00 Up +$25.00 +0.04% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:23,0,0
134,BTC $56982.00 Up +$207.00 +0.36% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:20,0,0
135,RT @bitsmart_btc: BTC $56289.00 Down -$386.00 -0.69% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:20,0,1
136,BTC $56775.00 Up +$486.00 +0.86% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:19,0,0
137,BTC $56289.00 Down -$386.00 -0.69% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:18,0,1
138,BTC $56675.00 Up +$463.00 +0.82% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:17,0,0
139,BTC $56212.00 Down -$278.00 -0.49% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:16,0,0
140,BTC $56490.00 Up +$716.00 +1.27% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:14,0,0
141,BTC $55774.00 Down -$83.00 -0.15% in the last hour #bitcoin #bitsmart,2021-04-19 07:22:12,0,0
142,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:21:28,0,822
143,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:20:53,0,822
144,"1: Bitcoin price is $57137.19 (1.01% 1h)
2: Ethereum price is $2259.61 (0.99% 1h)
3: Binance Coin price is $532.68… https://t.co/0D09lxprrn",2021-04-19 07:20:29,1,0
145,"RT @MocktailSwap: Get ready for the Best Staking Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:20:08,0,315
146,"Gutted about losing £0.00 during this dip because I didn’t trade with leverage like a degen. Play the long game, folks. #Bitcoin",2021-04-19 07:19:20,0,0
147,"#bitcoin  #cryptocurrency #crypto
1 $BTC $57.326,82🟢0.84%
2 $ETH $2.264,70🟢1.67%
3 $BNB $536,58🟢12.07%
4 $XRP $1,50… https://t.co/gVx2p7vXWI",2021-04-19 07:19:03,1,1
148,"RT @JunkoSu22993224: If Chainlink Hits $50.00 This Week. 
Giving away $50.00 to every person that leaves a comment, retweets and likes this…",2021-04-19 07:18:29,0,624
149,"SERDANG: Police have seized 297 bitcoin mining machines and none blowers worth about RM100,00 after raiding several… https://t.co/VB9zUbCKVb",2021-04-19 07:17:43,0,0
150,"RT @MocktailSwap: Get ready for the Best Farming Pools in Defi Market

Launching 21:00 UTC 18th April, 2021

Don't forget, Last chance to B…",2021-04-19 07:17:08,0,822
151,"RT @MocktailSwap: @MocktailSwap created the history in Private Sale...

But the future is more better!

Get ready for IMO Sale on 15th Apri…",2021-04-19 07:16:58,0,34
152,"So sesiapa yang nak beli crypto dekat Luno boleh guna referral code aku and dapat free bitcoin(RM25)

1. Sign up wi… https://t.co/jAgb7jnM5l",2021-04-19 07:16:19,0,0
153,"Mon Apr 19 09:15:00 2021 (1:20)
USD : 57,301.39
Wght: 218,614
Blk#: 679,763
Size: 1,298.6
Txs : 1,531
Pool: 104,759 (71.2 MB)
#bitcoin",2021-04-19 07:16:06,0,0
